amenity	name	operator	addr:housenumber	addr:neighbourhood	addr:place	tourism	brand	layer	ref:mise	wheelchair	name:ru	alt_name	religion	wikidata	addr:postcode	ethnicity	museum	name:hu	opening_hours	phone	denomination	cuisine	diet:kosher	addr:city	addr:street	email	website	wikipedia	atm	shop	name:en	contact:housenumber	contact:street	fax	internet_access	rooms	stars	takeaway	toilets	ferry	public_transport	cargo	description:en	dispensing	toilets:wheelchair	name:it	source	url	short_name	note	ref:vatin	restaurant:type:it	authorization	addr:country	internet_access:fee	name:es	name:zh	start_date	name:de	FIXME	loc_name	description	image	maintenance	source:pkey	wetap:credit	wetap:photo	wetap:status	contact:phone	organic	contact:facebook	contact:skype	smoking	is_in	outdoor_seating	fixme	fuel:lpg	wifi	contact:twitter	capacity	diet:gluten_free	name:ko	contact:email	artwork_type	name:be	name:nl	name:pl	name:pt	name:ro	name:sh	name:sr	name:uk	local_name	historic	entrance	building	source:name	addr:hamlet	delivery	ref:enel:code	ref:enel:serial_number	name:fr	salt	brand:wikidata	brand:wikipedia	ele	operator:wikidata	operator:wikipedia	books	second_hand	payment:bitcoin	payment:litecoin	tourism_1	barrier	croissant:type	price	microbrewery	tourism_2	description:hu	name:ja	addr:province	addr:housename	country	diplomatic	other	old_name	line	contact:website	vending	diet:vegan	diet:vegetarian	information	level	opening_hours:signed	note:it	breakfast	breakfast:buffet	swimming_pool	bus	description:de	highway	contact:fax	contact:neighbourhood	clothes	internet_access:ssid	faculty	contact:city	contact:postcode	addr:conscriptionnumber	canoe_rental	kayak_rental	artist_name	material	addr:unit	payment:american_express	payment:cash	payment:credit_cards	payment:debit_cards	payment:maestro	payment:mastercard	payment:visa	payment:visa_debit	payment:visa_electron	emergency	shop_1	access	capacity:disabled	fee	lit	park_ride	parking	smoothness	surface	addr:number	boat:parts	name:cs	facebook	isced:level	operator:type	addr:suburb	guest_house
	Hotel Leonardo		1385	Cannaregio	Cannaregio	hotel														+39 041 718666						info@hoteleonardo.com	http://www.hoteleonardo.com/							+39 041 5244018			2																																																																																																																																																
	Venice Times hotel		99D	Cannaregio	Cannaregio	hotel														+39 041 2031633						venicetimes@moodhotels.it	https://www.venicetimeshotel.com/							+39 041 2031653																ex Hotel Stella Alpina																																																																																																																																			
	Il Pinocchio libreria dell'arte		1889d	Cannaregio	Cannaregio																									yes																																																																																																																																																							
	Vivenzi SNC		1380	Cannaregio	Cannaregio					limited																				confectionery																					IT02920070279																																																																																																																																		
restaurant	Enoteca Al Volto Osteria con Cucina		4081												30124				10:00-16:00, 18:00-22:00	+39 041 5228945		italian			Calle Cavalli	info@alvoltaenoteca.com	http://www.alvoltaenoteca.com																																																																																										no																																																																
	Casinò di Venezia					yes								Q3661813														it:Casinò di Venezia																																																																				yes																																																																																					
	Museo di Storia Naturale di Venezia					museum								Q3867834					Tu-Fr 09:00-17:00; Sa-Su 10:00-18:00									it:Museo civico di storia naturale (Venezia)			Natural History Museum																																																																																							yes																																																															
	Hotel Guerrini					hotel																																																																																																																																																																															
	Hotel Rossi					hotel																																																																																																																																																																															
police	Guardia di Finanza																																																																																																																																																																																				
restaurant	Antica Locanda Montin																							Venezia	Fondamenta di Borgo																																																																																																																																																												
police	Prefettura di Venezia																																																																																																																																																																																				
	Collezione Peggy Guggenheim					gallery					Коллекция Пегги Гуггенхайм			Q1049033				Peggy Guggenheim Gyűjtemény	We-Mo 10:00-18:00								http://www.guggenheim-venice.it/	it:Peggy Guggenheim Collection			Peggy Guggenheim Collection															Collezione Peggy Guggenheim											佩吉·古根海姆美術館																																																														Kortárs művészet	ペギー・グッゲンハイム・コレクション																																																													
ice_cream	Gelateria Nico		922		Dorsoduro										30121					+39 041 15225293				Venezia	Fondamenta Zattere al Ponte Longo		http://www.gelaterianico.com/																											IT																					yes																																														Venezia																																																												
university	Ca' Cappello		San Polo 2035																																												http://www.unive.it/nqcontent.cfm?a_id=1018&id=990017																																																																											Ca' Cappello																																																											
police	Carabinieri																																																																																																																																																																																				
restaurant	Bacarandino		3939							yes					30122				10:00-24:00	+39 041 528 9859		italian		Venezia	Calle dei Corazzeri		http://www.bacarandino.it																																																					50																																																																																																					
ferry_terminal	Zitelle	ACTV								limited																																																																																																																																																																											
ferry_terminal	Redentore	ACTV									Реденторе																													yes																																																																																																																																													
	Leoni					artwork																																									survey																																					sculpture																																																																																																	
embassy	Honorarkonsulat der Bundesrepublik Deutschland																			+39 041 5237675						venedig@hk-diplo.de					Honorary Consulate of the Federal Republic of Germany			+39 041 2448469												Console Onorario della Repubblica Federale di Germania																																																																													DE	honorary_consulate																																																									
embassy	Honorarkonsulat der Republik Oesterreich																			+390415240 556						consolato.austria@zoppas.com					Honorary Consulate of the Republic of Austria			+390415242151												Console Onorario della Repubblica di Austria																																																																													AT	honorary_consulate																																																									
bar	Bar Froggy		2675/A	Cannaregio	Cannaregio										30121										Calle del Forno																																																no																																																																																																												
cinema	Rossini		3397/A												30124					+39 041 2417274				Venezia	Calle del Teatro		https://www.mymovies.it/cinema/venezia/21454/																																																																																																																																																										
	Scala Contarini del Bovolo					attraction													Tu-Su 10:00-13:30, 14:00-18:00									it:Palazzo_Contarini_del_Bovolo																																																																																																																																																									
restaurant	Trattoria Antica Besseta		1395	Santa Croce																+39 041 721687							http://www.anticabesseta.it/																																																																																																																																																										
cafe	Bar Rosa		1099	Santa Croce																																																																																																																																																																																	
	Enoteca Al Prosecco		1503	Santa Croce															Mo-Fr 10:00-20:00; Sa 10:00-17:00	+39 041 5240222							http://www.alprosecco.com/			wine																																																																																																																																																							
ice_cream	Gelato di Natura		1628	Santa Croce																																																																																																																																																																																	
restaurant	Al Canton dei Artisti		1005a	Santa Croce																																																																																																																																																																																	
	Energy Store Eni		900a	Santa Croce															Mo-Fr 09:00-13:00,14:30-17:30; Sa 09:00-13:00											yes																																																																																																																																																							
pharmacy	Farmacia Ai Due Ombrelli		969	Santa Croce																																								yes																																																																																																																																									
restaurant	Osteria Ai Postali		821	Santa Croce																																																																																																																																																																																	
fast_food	Burger King		745	Santa Croce	Santa Croce										30100				Mo-Su 10:00-00:00	041 721983				Venezia																																																																																																																																																													
cafe	Carlton Cafè																																																																																																																																																																																				
bank	Monte dei Paschi di Siena		714	Santa Croce	Santa Croce																																																																																																																																																																																
	Murano Glass		711	Santa Croce	Santa Croce																									variety_store																																																																																																																																																							
	Ostello Santa Fosca		2372	Cannaregio	Cannaregio	hostel									30121												https://www.ostellosantafosca.it/																																																																																																																																																										
	Arte Veneziana		557	Santa Croce																										variety_store																																																																																																																																																							
restaurant	Hostaria Vecio Biavarol		225	Santa Croce																																																																																																																																																																																	
	Hotel Airone		557	Santa Croce		hotel														+39 041 5204800						info@aironehotel.com	http://www.aironehotel.com/							+39 041 5204991			2																																																																																																																																																
	Libreria Mare di Carta		224	Santa Croce																										books																																																																																																																																																							
restaurant	Ristorante Cà Leon		215	Santa Croce																							http://www.caleon.it/it/																																																																																																																																																										
restaurant	Due Ruote		454	Santa Croce						yes																																			no																																																																																																																																								
	Enoteca Busodurello		466d	Santa Croce																										wine																																																																																																																																																							
	Hotel Al Malcanton		3587	Dorsoduro		hotel														+39 041 2750897					Corte Surian	info@hotelalmalcanton.com	http://www.hotelalmalcanton.com/it/							+39 041 2750375			2																																																																																																																																																
	Hotel Locanda Gaffaro		3589	Dorsoduro		hotel														+39 041 2750897						info@gaffaro.com	http://www.gaffaro.com/it/							+39 041 2750375																																																																																																																																																			
	Hotel Moresco		3499	Dorsoduro		hotel														+39 041 2440202						info@hotelmorescovenice.com	http://www.hotelmorescovenice.com/it/							+39 041 8685427			4																																																																																																																																																
cafe	Bar Pasticceria La Bauta		3528	Dorsoduro																																																																																																																																																																																	
restaurant	Trattoria Al Vinatier		466	Santa Croce						no																																																																																																																																																																											
restaurant	Trattoria Bar Giada		466a	Santa Croce						no																																																																																																																																																																											
	Vetreria Al Gaffaro		3549	Dorsoduro																										glass																																																																																																																																																							
	Il Grifone		3516	Dorsoduro																										bag																																																																																																																																																							
	Macuva		270f	Santa Croce																+39 041 5242743										greengrocer																																																																																																																																																							
restaurant	Ristorante Rio Novo		278	Santa Croce						no										+39 041 711007																																																																																																																																																																	
	Cà Nigra Lagoon Resort		927	Santa Croce	Santa Croce	hotel									30135																						4																																+39 041 2750047														info@hotelcanigra.com																																																																																																		
restaurant	Osteria Alba Nova dalla Maria		1252	Santa Croce											30135							regional																																																																																																																																																															
	Hotel Santa Marina		6067a	Castello	Castello	hotel									30122												https://www.hotelsantamarina.it/										4																																+39 041 5239202														info@hotelsantamarina.it																																																																																																		
	Don Orione Artigianelli					guest_house																													wlan																				yes																																																											entrance																																																																			
	Hotel Adriatico		224	Cannaregio	Cannaregio	hotel				no										+39 041 715176						info@venicehoteladriatico.com	http://www.venicehoteladriatico.com/it/							+39 041 717275			2																																																																																																																																																
restaurant	La porta d'Acqua									no												italian																																																																																																							Glutenfreieküche																																																								
restaurant	Vecio Fritolin		2262	Santa Croce																		italian																																																																																																							Glutenfreieküche																																																								
restaurant	Al Vaporetto																					italian																																																																																																																																																															
restaurant	Rossopomodoro		404	San Marco	San Marco																	pizza																																																																																																								Ristorante All'Angelo																																																							
	Majer Venezia																		Mo-Sa 07:00-22:00, Su 08:00-22:00								http://www.majer.it/			bakery																																													yes																																																																																																										
	Majer Venezia																										http://www.majer.it/			bakery																																																																																																																																																							
post_office	Venezia 5	Poste Italiane	3732		Cannaregio										30121									Venezia	Calle Priuli																													IT																																																																																																																															
	La Ricerca																													gift																																																																																																																																																							
bar	Do Draghi		3665	Dorsoduro																					Dorsoduro																																																																																																																																																												
	Hotel Palazzo Giovanelli		2070	Santa Croce		hotel																															4																																																																																																																																																
	Minimarket		2998	Dorsoduro															Mo-Fr 08:30-19:30; Sa 08:30-13:00,15:30-19:30											cosmetics																																																																																																																																																							
	Panificio Barozzi Gianfranco		3662	Dorsoduro																										bakery																																																																																																																																																							
cafe	Skillà Bar		2996	Dorsoduro						yes																																																																																																																																																																											
	Arcangelo Gabriele					artwork																																																																														statue																																																																																																	
	Arcangelo Michele					artwork																																																																														statue																																																																																																	
	Arcangelo Raffaele					artwork																																																																														statue																																																																																																	
	Arcangelo Uriele					artwork																																																																														statue																																																																																																	
	Hotel San Cassiano		2232	Santa Croce		hotel														+39 041 5241768							https://www.sancassiano.it/it/							+39 041 721033																																																																																																																																																			
restaurant	Osteria Antico Giardinetto		2253	Santa Croce																+39 041 722882							http://www.anticogiardinetto.it/																																																																																																																																																										
	San Marco					artwork																																																																														statue																																																																																																	
	San Pietro					artwork																																																																														statue																																																																																																	
	Albergo Doge		1222	Santa Croce		hotel														+39 041 2448752						info@albergodoge.com	http://www.albergodoge.com/										3																																																																																																																																																
	Alloggi Casa Mimma		1412c	Santa Croce		guest_house																																																																																																																																																																															
	De Dietrich Termique		1249	Santa Croce																										yes																																																																																																																																																							
	Hotel Canal Grande		932	Santa Croce	Santa Croce	hotel									30135					+39 041 2440148						info@hotelcanalgrande.it	https://www.hotelcanalgrande.it/										4																																																																																																																																																
	Hotel ai Due Fanali		946	Santa Croce	Santa Croce	hotel									30135					+39 041 718490						request@aiduefanali.com	https://www.aiduefanali.com/										3																																																																																																																																																
fast_food	Pizza Kebab		1232a	Santa Croce																		pizza;kebab																																																																																																																																																															
cafe	Bar Gelateria da Nini		1306	Cannaregio	Cannaregio					limited																																																																																																																																																																											
bureau_de_change	Change		1318a	Cannaregio	Cannaregio					no																																																																																																																																																																											
	Compro Oro		1597	Cannaregio	Cannaregio																									pawnbroker																																																																																																																																																							
pharmacy	Farmacia Salvadori		1339	Cannaregio	Cannaregio					no										+39 041 717356																								yes																																																																																																																																									
	Foto Franco		1596	Cannaregio	Cannaregio					limited																				photo																																																																																																																																																							
fast_food	Frito Inn		1587	Cannaregio	Cannaregio					yes					30121																																																																																																																																																																						
	Hotel Arcadia		1333	Cannaregio	Cannaregio	hotel				no										+39 041 717355							https://www.hotelarcadia.net/							+39 041 714361																																																																																																																																																			
bank	Cassa Di Risparmio									no									Mo-Fr 08:30-13:00,14:15-16:55										yes																																																																																																																																																								
	Iodonna		1336	Cannaregio	Cannaregio					yes									Mo-Sa 10:00-19:00; Su 11:00-18:00											clothes																																																																																																																																																							
fast_food	L'angolo della pizza		1589	Cannaregio	Cannaregio					yes												pizza;kebab																																																																																																																																																															
	NeroVenezia		1591	Cannaregio	Cannaregio					limited																				variety_store																																																																																																																																																							
	Rizzo		1332	Cannaregio	Cannaregio					yes									Mo-Su,PH 07:30-20:00											convenience																																																																																																																																																							
	Pasticceria Martini		1302	Cannaregio	Cannaregio					limited																				confectionery																																																																																																																																																							
	Superzoom		1354	Cannaregio	Cannaregio					limited																				clothes																																																																																																																																																							
	OVS		1318	Cannaregio	Cannaregio					yes									Mo-Su,PH 09:00-21:00											clothes																																																																																																																																																							
restaurant	Trattoria da Gigio		1594	Cannaregio	Cannaregio					yes																																																																																																																																																																											
bureau_de_change	Change		1523c	Cannaregio	Cannaregio					no																																																																																																																																																																											
restaurant	Cicchetteria da Luca e Fred		1518	Cannaregio	Cannaregio					no																																																																																																																																																																											
	Ferramenta		1516	Cannaregio	Cannaregio					yes																				hardware																																																																																																																																																							
	Gelateria Artigiana		1525	Cannaregio	Cannaregio																									ice_cream																																																																																																																																																							
	Guest House La Palazzina Veneziana		1510	Cannaregio	Cannaregio	guest_house				no																	https://www.lapalazzinaveneziana.it/																																																																																																																																																										
	Hotel alle Guglie		1512	Cannaregio	Cannaregio	hotel				no										+39 041 717351						info@hotelalleguglie.com	http://www.hotelalleguglie.com/							+39 041 717715			3																																																																																																																																																
restaurant	Ristorante Speranza		1520	Cannaregio	Cannaregio					yes										+39 041 8222558																																																																																																																																																																	
restaurant	Trattoria alla Palazzina		1509	Cannaregio	Cannaregio					no										+39 041 717725																																																																																																																																																																	
	Venice Model		1523a	Cannaregio	Cannaregio					no									Tu-Su 10:00-19:00								http://www.venicemodelonline.com/			toys																																																																																																																																																							
	Wind		1519	Cannaregio	Cannaregio					limited																				mobile_phone																																																																																																																																																							
	Barbiere Mauro		1115	Cannaregio	Cannaregio																									hairdresser																																																																																																																																																							
	Casa Mattiazzi		1116	Cannaregio	Cannaregio														Mo-Sa 09:00-19:30; We 09:00-13:00											wine																																																																																																																																																							
pharmacy	Farmacia alle due Sirene		1249	Cannaregio	Cannaregio																																							yes																																																																																																																																									
	Galleria Orlando Donadi		1294	Cannaregio	Cannaregio					no									Mo-Sa 10:00-13:00,17:00-21:00											art																																																																																																																																																							
	Hotel Biasin		1150	Cannaregio	Cannaregio	hotel																																																																																																																																																																															
	Salumi e Pasticceria		1291	Cannaregio	Cannaregio																									deli																																																																																																																																																							
restaurant	Trattoria Bar Pontini		1267	Cannaregio	Cannaregio					limited										+39041714123																																																																																																																																																																	
restaurant	Trattoria alla Fontana		1102	Cannaregio	Cannaregio																																																																																																																																																																																
restaurant	Aè Oche		158a	Cannaregio	Cannaregio					no												pizza																																																																																																																																																															
cafe	Bar Olimpia		116	Cannaregio	Cannaregio					limited																																																																																																																																																																											
atm	Cash Machine		151	Cannaregio	Cannaregio					limited																																																																																																																																																																											
atm	Forexchange									limited																																																																																																																																																																											
	Gelato Artigianale		121a	Cannaregio	Cannaregio																									ice_cream																																																																																																																																																							
	Gibigiana		159	Cannaregio	Cannaregio					limited																				variety_store																																																																																																																																																							
restaurant	Gino's Pasta e Pizza		157	Cannaregio	Cannaregio					yes																																																																																																																																																																											
	Grands		314	Cannaregio	Cannaregio														Mo-Su 10:00-19:30											bag																																																																																																																																																							
	Guest House Alloggi Gerotto		283	Cannaregio	Cannaregio	guest_house														+39 041 715562						info@283.it	http://www.casagerottocalderan.com/							+39 041 5242342																																																																																																																																																			
	Hotel Al Gobbo		312	Cannaregio	Cannaregio	hotel				no										+39 041 715001						info@albergoalgobbo.it	http://www.albergoalgobbo.it/							+39 041 714765																																																																																																																																																			
	Hotel Amadeus		227	Cannaregio	Cannaregio	hotel				no										+39 041 2206000						info@hotelamadeusvenice.it	http://www.gardenahotels.it/							+39 041 2206020			4																																																																																																																																																
	Hotel Antica Casa Carettoni		130	Cannaregio	Cannaregio	hotel				no										+39 041 716231						info@anticacasacarettoni.com	http://www.hotelcarettoni.com/							+39 041 2750973			3																																																																																																																																																
	Hotel B4 Bellini		116a	Cannaregio	Cannaregio	hotel				no										+39 041 5242488						fo.manager@bellini.boscolo.com	https://www.b4bellinivenezia.com/							+39 041 715193			4																																																																																																																																																
	Hotel Minerva		230	Cannaregio	Cannaregio	hotel														+39 041 715968							http://www.minervaenettuno.it/							+39 041 2758953			1																																																																																																																																																
	Hotel Universo e Nord		123	Cannaregio	Cannaregio	hotel				yes										+39 041 715233						info@hoteluniversoenord.com	http://www.hoteluniversoenord.com							+39 041 717070			3																																																																																																																																																
bar	Irish Pub Santa Lucia		282b	Cannaregio	Cannaregio														Mo-Su 00:00-02:00,07:00-24:00	+39 041 5242880						guinnessbar@hotmail.it	http://www.irishpubsantalucia.it/																																																																																																																																																										
restaurant	La Lista Bistro	Al Verde srl	225/A	Cannaregio	Cannaregio					no																lalistabistro@gmail.com									wlan																																		+39 041 5244098																																																																																																																
	Lions Calzature		223	Cannaregio	Cannaregio					limited																				shoes																																																																																																																																																							
	Despar	Despar (Aspiag)	124	Cannaregio	Cannaregio					limited					30121				Mo-Su 08:00-22:00					Venezia	Rio Terà Lista di Spagna					supermarket																																																																																																																																																							
cafe	Snack Anhela Bar		291	Cannaregio	Cannaregio					limited																																																																																																																																																																											
restaurant	Quanto Basta		148	Cannaregio	Cannaregio					yes									24/7			pizza																																																																																																																																																															
restaurant	Ristorante Al Brindisi		307	Cannaregio	Cannaregio																																																																																																																																																																																
restaurant	Ristorante All'Aquila Pizzeria		160a	Cannaregio	Cannaregio					yes										+39 041 715707																																																																																																																																																																	
restaurant	Ristorante Pizzeria Da Giorgio		230a	Cannaregio	Cannaregio					no																																																																																																																																																																											
	Tezenis		282a	Cannaregio	Cannaregio					limited									Mo-Sa 09:00-22:00; Su 10:00-20:00											clothes																																																																																																																																																							
restaurant	Trattoria Bella Venezia		129	Cannaregio	Cannaregio					yes										+39 041 715208																																																																																																																																																																	
restaurant	Trattoria Vittoria		313	Cannaregio	Cannaregio					yes									We-Mo 11:30-15:00,18:30-22:30																																																																																																																																																																		
	Vetri di Murano		118	Cannaregio	Cannaregio																									variety_store																																																																																																																																																							
restaurant	Al Vecio Forner																					regional																																																																																																																																																															
ferry_terminal	Ca' Rezzonico																																																																																																																																																																																				
ferry_terminal	"San Zaccaria (Danieli) ""F"""	ACTV																																																																																																																																																																																			
ferry_terminal	Ferrovia Bar Roma	ACTV								limited																																																																																																																																																																											
ferry_terminal	"San Zaccaria (M.V.E.) ""B"""	ACTV																																																																																																																																																																																			
ferry_terminal	Fondamente Nóve (D)																																									passengers																																																																																																																																											
ferry_terminal	Fondamente Nove (B)																																																																																																																														4.1																																																						
restaurant	Ristorante Alla Conchiglia		4990	Castello	Castello					limited												italian																																																																																																																																																															
ice_cream	Grom									yes																	https://www.grom.it/																																																																																																																																																										
restaurant	Vittoria		745	Santa Croce	Santa Croce															+39 041 718 500						pizzeria.vittoria@gmail.com																																																																																																																																																											
	A Tribute to Music					hotel																																																																																																																																																																															
restaurant	OKE																					italian																																																																																																																																																															
restaurant	Osteria Al Bacco		3054	Cannaregio	Cannaregio															+39 041 5256093		regional			Fondamenta de le Capuzzine																																																																																																							http://osteriaalbacco.com																																																					
restaurant	Al Vecio Portal																					italian					http://www.alvecioportal.it																																																yes																																																																																																										
cafe	Caffè Florian		57	San Marco	San Marco									Q960610	30124				Mo-Su 09:00-00:00	+39415205641					Piazza San Marco	servizi@caffeflorian.com	https://www.caffeflorian.com/	it:Caffè Florian																													弗洛里安咖啡馆																																																																																																																												
	Hotel Metropole		4149	Castello	Castello	hotel				yes																											4																																																																																																																																																
restaurant	Chat Qui Rit		1131							yes					30124				12:30 - 22:30	+39 041 5229086		regional		Venezia	Calle Tron		https://chatquirit.it/											no												Domenica chuso																							outside							50																																																																																																					
	Hotel Palazzo Vitturi	Palazzo Vitturi srl	5246	Castello	Castello	hotel									30122					+39 0 41 241 0856							http://www.hotelpalazzovitturi.com																																														no																																																																																																												
	Ca' Contessa Venice Apartment	Michele C.	2543			hotel									30122					+39 327 3526164				Venezia	Castello		https://www.ca-contessa.com/																							Remarcable elegant and intimate apartment less than 10 min from St. Mark's square																							no																																																																																																												
bar	Cantina Aziende Agricole		1847A	Cannaregio	Cannaregio										30100																																																																																																																																																																						
restaurant	Gran Caffè Chioggia		11	San Marco	San Marco																																																																																																																																																																																
restaurant	Osteria Antica Adelaide		3728	Cannaregio																																																																																																																																																																																	
	Generator Hostel Venezia	Generator	86			hostel				yes		HI Venezia			30133					+39 041 8778288				Venezia	Fondamenta Zitelle		https://generatorhostels.com/destinations/venice																		yes									IT																																																																																																																															
	Hotel de L'Alboro					hotel				no										+39 041 5229454						info@alborohotel.it	http://www.alborohotel.it								wlan		3																		no																		no																																																																																																												
restaurant	Osteria delle Botteghe																					italian																																																																																																																																																															
restaurant	Artblu Cafe																					italian																																																					yes																																																																																																										
	Loris Marazzi Sculptures in Wood																													art																																																																																																																																																							
bar	Vintotto Bar									no																																																															outside		yes																																																																																																										
cafe	"Bar ""Mister Sandwich"""		5121	San Marco	San Marco																																														IT02735050276																																																																																																																																		
